"report_label","report_object","report_source","report_asset","plan_generator","campaigns","datasets","seeds","launcher","coverage","notes"
"tab:baron_annotation_comparison","table","corps_rapport.tex","inline table","scripts/reproduction/build_report_plan.py","deg","baron_human_pancreas","42","results/report_repro/run_ready_report_jobs.sh","postprocess_required","Compare Hungarian labels and marker-overlap annotations after the scRAW Baron source run."
"fig:common8_family_all_methods","figure","annexes.tex","scraw_common8_family_panel/common8_family_all_methods_panel.pdf","scripts/reproduction/build_stable_generalist_plan.py","stable_generalist","common-8","planner default: 42; reference table: n_seeds=1","results/stable_generalist_repro/run_ready_jobs.sh","rerunnable","Full-family annex panel from stable_generalist metrics."
"fig:common8_harmony_complement","figure","annexes.tex","scraw_common8_family_panel/common8_harmony_complement_panel.pdf","scripts/reproduction/manual_protocols.py","harmony","common-8","42","results/manual_harmony/run_jobs.sh","customizable","Harmony complement commands can be generated for Harmony, scMAE+Harmony, scNAME+Harmony, scvi+Harmony, and other registered +Harmony methods."
"tab:runtime_moyen_algorithmes","table","annexes.tex","inline table","scripts/reproduction/build_stable_generalist_plan.py","stable_generalist","common-8 plus external-validation datasets","42","results/stable_generalist_repro/run_ready_jobs.sh","postprocess_required","Runtime table is computed from result CSV runtime fields."
"tab:scraw_ablation","table","annexes.tex","inline table","none","ablation_scraw","baron_human_pancreas","not recorded","none","not_integrated","Ablation values are documented in the report but are not yet encoded as a clean SCRBenchmark reproduction plan."
"fig:scraw_ablation_barplot","figure","annexes.tex","stable_default_mse_ablations_20260526_210436/figures/stable_default_mse_ablation_key_metrics_barplot.png","none","ablation_scraw","baron_human_pancreas","not recorded","none","not_integrated","Requires adding an explicit ablation launcher before claiming turnkey reproducibility."
"fig:scraw_hparam_importance_baron","figure","annexes.tex","hyperparametres_scraw/baron_param_importances_mean5_top30.png","none","optuna_scraw","baron_human_pancreas","not applicable","none","archival_asset","Optuna campaign artifacts are documented but exact search reruns are not exposed through SCRBenchmark launchers."
"fig:scraw_hparam_importance_generalist8","figure","annexes.tex","hyperparametres_scraw/generalist8_param_importances_mean5_top30.png","none","optuna_scraw","common-8","not applicable","none","archival_asset","Optuna campaign artifacts are documented but exact search reruns are not exposed through SCRBenchmark launchers."
"fig:scraw_hparam_importance_stable_generalist","figure","annexes.tex","hyperparametres_scraw/stable_generalist_param_importances_mean5_top30.png","none","optuna_scraw","stable_generalist 13-dataset campaign","not applicable","none","archival_asset","Optuna campaign artifacts are documented but exact search reruns are not exposed through SCRBenchmark launchers."
"fig:organisation_logiciel","figure","corps_rapport.tex","SCRBenchmark/OrganisationLogiciel.png","none","static_diagram","not applicable","not applicable","none","static_asset","Software architecture diagram; no computational reproduction step."
"fig:scrbenchmark_panel","figure","annexes.tex","SCRBenchmark screenshots","none","static_screenshot","not applicable","not applicable","none","static_asset","Screenshots are GUI documentation assets, not benchmark experiments."
